DATE,JPNWSCNDW01MLSAM
2000-01-01,1233052.0
2001-01-01,1174118.0
2002-01-01,1151054.0
2003-01-01,1158913.0
2004-01-01,1189411.0
2005-01-01,1235400.0
2006-01-01,1291393.0
2007-01-01,1065515.0
2008-01-01,1093892.0
2009-01-01,789725.0
2010-01-01,813113.0
2011-01-01,833401.0
2012-01-01,881648.0
2013-01-01,976939.0
2014-01-01,894546.0
2015-01-01,909091.0
2016-01-01,966329.0
2017-01-01,966453.0
2018-01-01,942302.0
2019-01-01,907161.0
2020-01-01,817019.0
