DATE,NORWSCNDW01MLSAM
2000-01-01,23310.0
2001-01-01,25408.0
2002-01-01,22357.0
2003-01-01,22342.0
2004-01-01,29286.0
2005-01-01,31770.0
2006-01-01,33084.0
2007-01-01,32325.0
2008-01-01,25844.0
2009-01-01,19455.0
2010-01-01,21179.0
2011-01-01,27801.0
2012-01-01,30184.0
2013-01-01,30238.0
2014-01-01,27332.0
2015-01-01,30746.0
2016-01-01,36495.0
2017-01-01,35292.0
2018-01-01,31566.0
2019-01-01,31857.0
2020-01-01,29912.0
