DATE,DNKWSCNDW01MLSAM
2000-01-01,16349.0
2001-01-01,20805.0
2002-01-01,22933.0
2003-01-01,27176.0
2004-01-01,28418.0
2005-01-01,34133.0
2006-01-01,35705.0
2007-01-01,25252.0
2008-01-01,16938.0
2009-01-01,11139.0
2010-01-01,16488.0
2011-01-01,18826.0
2012-01-01,15281.0
2013-01-01,11513.0
2014-01-01,17250.0
2015-01-01,20816.0
2016-01-01,29826.0
2017-01-01,29285.0
2018-01-01,36870.0
2019-01-01,40741.0
2020-01-01,37634.0
